time (since java epoch),time since bag start (ms),Manager centralmanager-vm1,Manager centralmanager-vm5,Manager centralmanager-vm9
1554991374855,1892854,0.0,0.0,0.0
1554991374888,1892887,0.019801980198019802,0.0,0.0
1554991375185,1893184,0.019801980198019802,0.019801980198019802,0.0
1554991375854,1893853,0.019801980198019802,0.019801980198019802,0.010101010101010102
1554991375888,1893887,0.010101010101010102,0.019801980198019802,0.010101010101010102
1554991376185,1894184,0.010101010101010102,0.0,0.010101010101010102
1554991376854,1894853,0.010101010101010102,0.0,0.0
1554991376888,1894887,0.0,0.0,0.0
1554991377184,1895183,0.0,0.0297029702970297,0.0
1554991377854,1895853,0.0,0.0297029702970297,0.0
1554991377888,1895887,0.02,0.0297029702970297,0.0
1554991378184,1896183,0.02,0.010101010101010102,0.0
1554991378854,1896853,0.02,0.010101010101010102,0.010101010101010102
1554991378888,1896887,0.0297029702970297,0.010101010101010102,0.010101010101010102
1554991379185,1897184,0.0297029702970297,0.01,0.010101010101010102
1554991379854,1897853,0.0297029702970297,0.01,0.0
1554991379888,1897887,0.0297029702970297,0.01,0.0
1554991380185,1898184,0.0297029702970297,0.01,0.0
1554991380854,1898853,0.0297029702970297,0.01,0.0
1554991380888,1898887,0.010101010101010102,0.01,0.0
1554991381184,1899183,0.010101010101010102,0.010101010101010102,0.0
1554991381854,1899853,0.010101010101010102,0.010101010101010102,0.010101010101010102
1554991381889,1899888,0.02,0.010101010101010102,0.010101010101010102
1554991382184,1900183,0.02,0.019801980198019802,0.010101010101010102
1554991382854,1900853,0.02,0.019801980198019802,0.0
1554991382889,1900888,0.02,0.019801980198019802,0.0
1554991383185,1901184,0.02,0.0,0.0
1554991383854,1901853,0.02,0.0,0.01
1554991383888,1901887,0.0297029702970297,0.0,0.01
1554991384184,1902183,0.0297029702970297,0.019801980198019802,0.01
1554991384854,1902853,0.0297029702970297,0.019801980198019802,0.010101010101010102
1554991384888,1902887,0.010101010101010102,0.019801980198019802,0.010101010101010102
1554991385184,1903183,0.010101010101010102,0.010101010101010102,0.010101010101010102
1554991385855,1903854,0.010101010101010102,0.010101010101010102,0.0
